epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,211.415,3.17411,3.78472,4.15656,0.03565,0.0481,0.00969,0.00262,2.9078,4.78846,4.75581,0.0701538,0.00331624,0.00331624
2,272.755,3.10469,3.59162,3.84359,0.0272,0.066,0.01191,0.00287,2.78131,4.10046,3.90426,0.040088,0.00658374,0.00658374
3,330.157,2.8469,3.30925,3.40792,0.01157,0.10826,0.00693,0.002,2.64309,20.5365,3.63053,0.00995618,0.00978524,0.00978524
4,386.876,2.56127,3.04305,3.05908,0.13205,0.25391,0.09417,0.02548,2.38242,3.64891,2.96252,0.009703,0.009703,0.009703
5,444.306,2.32162,2.84189,2.81237,0.24031,0.27517,0.16639,0.05288,2.31359,2.90055,2.89376,0.009604,0.009604,0.009604
6,501.293,2.1166,2.61105,2.60884,0.31586,0.33781,0.24747,0.08316,2.04288,2.80029,2.60748,0.009505,0.009505,0.009505
7,558.154,1.99083,2.46249,2.45337,0.36175,0.36018,0.27904,0.09932,2.04396,2.45248,2.60084,0.009406,0.009406,0.009406
8,614.971,1.92594,2.34332,2.37641,0.34104,0.38031,0.27489,0.10813,1.97865,2.52079,2.54265,0.009307,0.009307,0.009307
9,673.049,1.86598,2.28729,2.30713,0.4035,0.45078,0.3707,0.15217,1.84215,2.46947,2.33677,0.009208,0.009208,0.009208
10,730.365,1.81961,2.21427,2.27884,0.42546,0.44519,0.39318,0.16746,1.85458,2.25665,2.34854,0.009109,0.009109,0.009109
11,787.907,1.78295,2.15047,2.22502,0.3705,0.42394,0.35275,0.14906,1.88081,2.29897,2.41309,0.00901,0.00901,0.00901
12,845.075,1.74781,2.11901,2.20148,0.51524,0.48993,0.47387,0.21544,1.78769,2.01021,2.28863,0.008911,0.008911,0.008911
13,901.744,1.72122,2.04986,2.17018,0.48228,0.49217,0.46703,0.21447,1.77958,2.027,2.25101,0.008812,0.008812,0.008812
14,958.403,1.70801,2.01392,2.14342,0.54162,0.52908,0.53563,0.2636,1.66137,1.8547,2.1351,0.008713,0.008713,0.008713
15,1015.17,1.66844,1.97731,2.11796,0.55974,0.57159,0.54456,0.26845,1.69315,1.80183,2.14338,0.008614,0.008614,0.008614
16,1073.85,1.65301,1.93774,2.09711,0.52629,0.5481,0.54262,0.26555,1.66962,1.80678,2.1032,0.008515,0.008515,0.008515
17,1131.32,1.63479,1.93116,2.075,0.57199,0.566,0.58374,0.29649,1.63459,1.75296,2.0835,0.008416,0.008416,0.008416
18,1351.11,1.63284,1.88008,2.07273,0.51737,0.57159,0.5397,0.28328,1.63511,1.73383,2.08284,0.008317,0.008317,0.008317
19,1530.97,1.61044,1.8771,2.044,0.52746,0.56934,0.52677,0.26142,1.63976,1.80484,2.08224,0.008218,0.008218,0.008218
20,1590.54,1.58932,1.83361,2.01592,0.57283,0.54251,0.56629,0.2745,1.63372,1.73777,2.05662,0.008119,0.008119,0.008119
21,1648.62,1.57215,1.8364,2.00542,0.62049,0.61266,0.63109,0.31394,1.61817,1.69097,2.07978,0.00802,0.00802,0.00802
22,1707.95,1.56789,1.79845,2.00817,0.55444,0.54362,0.53678,0.2788,1.58957,1.77231,2.04498,0.007921,0.007921,0.007921
23,1921.25,1.55289,1.77312,1.9845,0.60413,0.58891,0.61884,0.31441,1.63925,1.60297,2.07753,0.007822,0.007822,0.007822
24,2196.06,1.54915,1.7588,1.98351,0.64637,0.56152,0.61298,0.32132,1.54237,1.58901,1.97583,0.007723,0.007723,0.007723
25,2470.17,1.53813,1.75245,1.96024,0.63813,0.61074,0.6546,0.35405,1.52131,1.52729,1.94014,0.007624,0.007624,0.007624
26,2747.51,1.54681,1.7226,1.96242,0.66689,0.6136,0.66973,0.36336,1.51582,1.48661,1.92232,0.007525,0.007525,0.007525
27,3023.94,1.51968,1.72521,1.95109,0.6269,0.65219,0.66785,0.35543,1.5336,1.50336,1.94968,0.007426,0.007426,0.007426
28,3296.99,1.52511,1.69373,1.94818,0.61551,0.64653,0.66142,0.34351,1.54077,1.48461,1.96497,0.007327,0.007327,0.007327
29,3574.03,1.48823,1.65875,1.92165,0.61362,0.66617,0.67031,0.36544,1.48324,1.43623,1.91507,0.007228,0.007228,0.007228
30,3850.45,1.4966,1.6604,1.93105,0.70263,0.66867,0.68965,0.37742,1.48959,1.38468,1.93542,0.007129,0.007129,0.007129
31,3974.35,1.47796,1.62539,1.9138,0.67633,0.63199,0.66377,0.35346,1.50918,1.43516,1.9489,0.00703,0.00703,0.00703
32,4032.28,1.47322,1.63411,1.89786,0.65897,0.65923,0.69176,0.39109,1.44547,1.40591,1.88362,0.006931,0.006931,0.006931
33,4095.57,1.47621,1.60192,1.89684,0.65198,0.64318,0.65757,0.35717,1.48713,1.41784,1.89769,0.006832,0.006832,0.006832
34,4174.98,1.47163,1.61743,1.89917,0.6706,0.66494,0.69585,0.39112,1.45894,1.36218,1.88442,0.006733,0.006733,0.006733
35,4285.02,1.45346,1.5788,1.87852,0.69534,0.63982,0.69619,0.39207,1.44736,1.35938,1.88704,0.006634,0.006634,0.006634
36,4436.38,1.44713,1.56845,1.86463,0.69908,0.68568,0.72758,0.39937,1.51045,1.31777,1.88335,0.006535,0.006535,0.006535
37,4495.56,1.44955,1.55367,1.86852,0.71261,0.66779,0.71165,0.40469,1.45429,1.29178,1.86642,0.006436,0.006436,0.006436
38,4555.94,1.44804,1.5453,1.85917,0.66391,0.68121,0.70016,0.39624,1.43812,1.30211,1.8595,0.006337,0.006337,0.006337
39,4614.82,1.42026,1.55139,1.83854,0.60347,0.59955,0.62438,0.34785,1.48055,1.46327,1.9014,0.006238,0.006238,0.006238
40,4671.92,1.4199,1.51855,1.83981,0.71952,0.68007,0.72212,0.40978,1.41425,1.29878,1.82237,0.006139,0.006139,0.006139
41,4728.98,1.42003,1.51067,1.83406,0.72229,0.7047,0.75114,0.43329,1.38833,1.26928,1.7933,0.00604,0.00604,0.00604
42,4786.2,1.4241,1.5139,1.84172,0.72992,0.66808,0.72524,0.40538,1.43274,1.28978,1.84962,0.005941,0.005941,0.005941
43,4844.73,1.3889,1.4537,1.80785,0.70206,0.69239,0.72463,0.41886,1.43671,1.24786,1.85244,0.005842,0.005842,0.005842
44,4902.17,1.38849,1.45638,1.81469,0.71726,0.68385,0.73755,0.41296,1.43202,1.2554,1.84646,0.005743,0.005743,0.005743
45,4980.37,1.38613,1.45573,1.80876,0.68494,0.66555,0.71755,0.40281,1.42065,1.316,1.83788,0.005644,0.005644,0.005644
46,5050.52,1.39327,1.46092,1.8111,0.73754,0.70097,0.75114,0.42112,1.45045,1.27289,1.85859,0.005545,0.005545,0.005545
47,5315.51,1.38412,1.45717,1.81242,0.75523,0.7226,0.76633,0.43572,1.43533,1.20065,1.84989,0.005446,0.005446,0.005446
48,5589.07,1.37793,1.43548,1.79909,0.71131,0.70003,0.75108,0.43462,1.40804,1.21103,1.82596,0.005347,0.005347,0.005347
49,5764.4,1.37364,1.42014,1.78982,0.7168,0.74049,0.76307,0.43833,1.4142,1.17952,1.81106,0.005248,0.005248,0.005248
50,5828.2,1.34667,1.39527,1.77347,0.71632,0.72874,0.77036,0.45009,1.38808,1.18533,1.80649,0.005149,0.005149,0.005149
51,5912.69,1.3551,1.39059,1.78206,0.72663,0.73736,0.77658,0.45401,1.40166,1.13979,1.80471,0.00505,0.00505,0.00505
52,5985.28,1.35342,1.3981,1.77256,0.73265,0.70582,0.7575,0.4382,1.39544,1.20328,1.79466,0.004951,0.004951,0.004951
53,6102.79,1.35849,1.39123,1.77304,0.73639,0.75619,0.77878,0.46148,1.3588,1.11707,1.76895,0.004852,0.004852,0.004852
54,6233.92,1.34975,1.39743,1.77574,0.76763,0.72148,0.78564,0.46158,1.38846,1.13435,1.77611,0.004753,0.004753,0.004753
55,6461.75,1.32968,1.39219,1.75798,0.73423,0.73378,0.7798,0.45512,1.34883,1.13784,1.75871,0.004654,0.004654,0.004654
56,6519.39,1.34315,1.37833,1.76589,0.74467,0.71445,0.77061,0.44765,1.36625,1.15248,1.79998,0.004555,0.004555,0.004555
57,6576.92,1.34117,1.36417,1.77666,0.74144,0.71207,0.76126,0.45062,1.391,1.12795,1.81607,0.004456,0.004456,0.004456
58,6703.76,1.33115,1.34311,1.75531,0.75466,0.73631,0.78794,0.46114,1.3544,1.11228,1.75348,0.004357,0.004357,0.004357
59,6986.41,1.32577,1.35898,1.75224,0.7825,0.71632,0.78854,0.4698,1.34382,1.08816,1.75759,0.004258,0.004258,0.004258
60,7267.62,1.31226,1.33033,1.7412,0.73517,0.73154,0.78293,0.46101,1.35132,1.1134,1.75281,0.004159,0.004159,0.004159
61,7543.53,1.30354,1.33353,1.72893,0.73858,0.74049,0.79284,0.4628,1.35566,1.12755,1.77275,0.00406,0.00406,0.00406
62,7608.14,1.30455,1.31151,1.73496,0.76408,0.74385,0.80084,0.47862,1.35219,1.07951,1.75786,0.003961,0.003961,0.003961
63,7764.82,1.3102,1.30988,1.73035,0.75288,0.73951,0.79605,0.46246,1.35015,1.08615,1.76164,0.003862,0.003862,0.003862
64,7994.3,1.29273,1.29842,1.71879,0.79338,0.72595,0.80802,0.48733,1.35562,1.04095,1.76138,0.003763,0.003763,0.003763
65,8057.97,1.28332,1.28843,1.71357,0.77072,0.74385,0.80429,0.48696,1.34193,1.04935,1.75827,0.003664,0.003664,0.003664
66,8114.63,1.27237,1.26874,1.70269,0.76524,0.73937,0.81389,0.48592,1.33729,1.02317,1.75015,0.003565,0.003565,0.003565
67,8171.47,1.28851,1.29626,1.71246,0.78977,0.72483,0.80216,0.48303,1.3442,1.04201,1.74995,0.003466,0.003466,0.003466
68,8228.31,1.27169,1.26523,1.70438,0.78656,0.72548,0.81228,0.48923,1.31663,1.02888,1.71659,0.003367,0.003367,0.003367
69,8285.59,1.27095,1.27807,1.69893,0.7855,0.76286,0.82085,0.4983,1.31351,1.0337,1.70841,0.003268,0.003268,0.003268
70,8344.42,1.26734,1.26733,1.69658,0.74881,0.77293,0.81325,0.49103,1.33357,1.01972,1.73557,0.003169,0.003169,0.003169
